ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3-PentaClass_3,Action3_CAMEO_3,Comments_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,Action3-PentaClass_4,Action3_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
amVUiWM9LlwwSqRXTFu53Osw8Aee-cameo_200.csv_23,"No. 178 sentences At least six people have been killed and several others are missing after Typhoon Mitag lashed South Korea with heavy rain and strong winds, authorities said on Thursday.",No. 178 ,"At least six people have been killed and several others are missing after Typhoon Mitag lashed South Korea with heavy rain and strong winds, authorities said on Thursday.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,"[('Target-2', 'people', 13), ('Action-2', 'have been killed', 20), ('Location', 'South Korea', 95), ('Source-1', 'authorities', 141), ('Action-1', 'said', 153), ('Time', 'Thursday', 161)]","[[('Source-1', 'authorities'), ('Action-1', 'said')], [('Action-2', 'have been killed'), ('Target-2', 'people')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,,
a7yKP_06TRFb10ecFIN5vE9KOLWi-cameo_200.csv_20,No. 181 sentences Chinese Foreign Ministry spokeswoman Hua Chunying said Japan should 'rigorously respect its international commitments to nuclear safety and non-proliferation'.,No. 181 ,Chinese Foreign Ministry spokeswoman Hua Chunying said Japan should 'rigorously respect its international commitments to nuclear safety and non-proliferation'.,True,"[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying', 0), ('Action-1', 'said', 50), ('Target-1', 'Japan', 55)]","[[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying'), ('Action-1', 'said')], [('Target-1', 'Japan'), ('Action-1', 'said')]]",True,3-Verbal Conflict,3-10 Demand,,,,,False,[],[],True,"[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying', 0), ('Action-1', 'said', 50)]","[[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying'), ('Action-1', 'said')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,True,"[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying', 0), ('Action-1', 'said', 50), ('Source-2', 'Japan', 55), ('Action-2', ""should 'rigorously respect"", 61), ('Target-2', ""international commitments to nuclear safety and non-proliferation'."", 92)]","[[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying'), ('Action-1', 'said')], [('Source-2', 'Japan'), ('Action-2', ""should 'rigorously respect"")], [('Action-2', ""should 'rigorously respect""), ('Target-2', ""international commitments to nuclear safety and non-proliferation'."")]]",True,0-Make a Statement,0-1 Make Public Statement,2-Material Cooperation,2-6 Engage in Material Coop,,,True,"[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying', 0), ('Action-1', 'said', 50)]","[[('Source-1', 'Chinese Foreign Ministry spokeswoman Hua Chunying'), ('Action-1', 'said')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
aeuDUI7ZZjkZElkDB64oHTATpoKC-cameo_200.csv_17,"No. 184 sentences President Donald Trump speaks to reporters as he departs the White House en route to Paris from Washington, November 9, 2018.",No. 184 ,"President Donald Trump speaks to reporters as he departs the White House en route to Paris from Washington, November 9, 2018.",True,[],[],False,,,,,,,False,[],[],True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'speaks to reporters', 23), ('Location', 'Washington', 96), ('Time', 'November 9, 2018', 108)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'speaks to reporters')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,True,[],[],False,,,,,,,True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'speaks', 23), ('Target-1', 'reporters', 33), ('Location', 'White House', 61), ('Time', 'November 9, 2018', 108)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'speaks')], [('Action-1', 'speaks'), ('Target-1', 'reporters')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
aACqv0sr6TkCXVTG39F3Z9HIPZzG-cameo_200.csv_18,"No. 183 sentences The trial of 11 suspected members of a far-right ""terror"" group has begun in the German city of Stuttgart.",No. 183 ,"The trial of 11 suspected members of a far-right ""terror"" group has begun in the German city of Stuttgart.",True,[],[],False,,,,,,,False,[],[],True,"[('Action-1', 'trial', 4), ('Target-1', 'suspected members of a far-right ""terror"" group', 16), ('Location', 'German city of Stuttgart', 81)]","[[('Action-1', 'trial'), ('Target-1', 'suspected members of a far-right ""terror"" group')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,,True,[],[],True,,,,,,,True,"[('Action-1', 'trial', 4), ('Target-1', 'suspected members of a far-right ""terror"" group', 16), ('Location', 'German city of Stuttgart', 81)]","[[('Action-1', 'trial'), ('Target-1', 'suspected members of a far-right ""terror"" group')]]",True,3-Verbal Conflict,3-9 Investigate,,,,,,
akFw0QJLy7soJz.sPiXgk.DLCtM8-cameo_200.csv_26,"No. 175 sentences Mario Draghi, Credited With Saving The Euro, Tapped To Form A New Government In Italy",No. 175 ,"Mario Draghi, Credited With Saving The Euro, Tapped To Form A New Government In Italy",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,"[('Target-1', 'Mario Draghi', 0), ('Action-1', 'Tapped', 45), ('Location', 'Italy', 80)]","[[('Action-1', 'Tapped'), ('Target-1', 'Mario Draghi')]]",True,1-Verbal Cooperation,0-2 Appeal,,,,,,
aluIVbHlakOnUMnd16ZPAH5Ul3nG-cameo_200.csv_16,"No. 185 sentences The action comes ""in response to a number of troubling and escalatory indications and warnings,"" White House national security adviser John Bolton said in a statement | Chip Somodevilla/Getty Images",No. 185 ,"The action comes ""in response to a number of troubling and escalatory indications and warnings,"" White House national security adviser John Bolton said in a statement | Chip Somodevilla/Getty Images",True,[],[],False,,,,,,,False,[],[],True,"[('Source-1', 'White House national security adviser John Bolton', 97), ('Action-1', 'said', 147)]","[[('Source-1', 'White House national security adviser John Bolton'), ('Action-1', 'said')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,True,"[('Source-1', 'White House national security adviser John Bolton', 97), ('Action-1', 'said in a statement', 147)]","[[('Source-1', 'White House national security adviser John Bolton'), ('Action-1', 'said in a statement')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'White House national security adviser John Bolton', 97), ('Action-1', 'said', 147)]","[[('Source-1', 'White House national security adviser John Bolton'), ('Action-1', 'said')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
aQLMjb_ax7gh3qC9jJEm9FGpkmmm-cameo_200.csv_13,"No. 188 sentences The Cape Town woman assaulted by a driver after she refused to get into his taxi possibly avoided a dangerous encounter with a gang, the Western Cape transport ministry has said.",No. 188 ,"The Cape Town woman assaulted by a driver after she refused to get into his taxi possibly avoided a dangerous encounter with a gang, the Western Cape transport ministry has said.",True,"[('Source-1', 'Western Cape transport ministry', 137), ('Action-1', 'said', 173)]",[],False,0-Make a Statement,0-1 Make Public Statement,,,,,False,[],[],True,[],[],False,,,,,,,,True,"[('Target-1', 'The Cape Town woman', 0), ('Action-1', 'assaulted', 20), ('Source-1', 'driver', 35), ('Source-2', 'the Western Cape transport ministry', 133), ('Action-2', 'as said', 170)]","[[('Source-1', 'driver'), ('Action-1', 'assaulted')], [('Action-1', 'assaulted'), ('Target-1', 'The Cape Town woman')], [('Source-2', 'the Western Cape transport ministry'), ('Action-2', 'as said')]]",True,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,,True,[],[],False,,,,,,,,
aj58c22887JIbuRIAthUMHeFuMl0-cameo_200.csv_19,No. 182 sentences Blood stains the ground around the damaged bus after seven women and four men lost their lives in a rocket attack apparently intended for a government checkpoint.,No. 182 ,Blood stains the ground around the damaged bus after seven women and four men lost their lives in a rocket attack apparently intended for a government checkpoint.,True,[],[],False,,,,,,,False,[],[],True,"[('Target-1', 'women', 59), ('Target-1', 'men', 74), ('Action-1', 'lost their lives', 78), ('Action-1', 'rocket attack', 100)]","[[('Action-1', 'lost their lives'), ('Target-1', 'men')], [('Action-1', 'lost their lives'), ('Target-1', 'women')], [('Action-1', 'rocket attack'), ('Target-1', 'men')], [('Action-1', 'rocket attack'), ('Target-1', 'women')]]",True,4-Material Conflict,4-19 Fight,,,,,,True,[],[],False,,,,,,,True,"[('Target-1', 'women', 59), ('Target-1', 'men', 74), ('Action-1', 'attack', 107)]","[[('Action-1', 'attack'), ('Target-1', 'men')], [('Action-1', 'attack'), ('Target-1', 'women')]]",True,4-Material Conflict,4-18 Assualt,,,,,,
avt1C8XqyCWGg91sQBVMo14zkB5K-cameo_200.csv_15,"No. 186 sentences Bulawayo, Zimbabwe - On November 24, Emmerson Mnangagwa arrived in Harare's main sports stadium to the cheers of tens of thousands of enthusiastic supporters.",No. 186 ,"Bulawayo, Zimbabwe - On November 24, Emmerson Mnangagwa arrived in Harare's main sports stadium to the cheers of tens of thousands of enthusiastic supporters.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,,True,[],[],False,,,,,,,True,"[('Time', 'November 24', 24), ('Source-1', 'Emmerson Mnangagwa', 37), ('Target-2', 'Emmerson Mnangagwa', 37), ('Action-1', 'arrived', 56), ('Location', ""Harare's main sports stadium"", 67), ('Action-2', 'cheers', 103), ('Source-2', 'enthusiastic supporters', 134), ('Target-1', 'enthusiastic supporters', 134)]","[[('Source-1', 'Emmerson Mnangagwa'), ('Action-1', 'arrived')], [('Action-1', 'arrived'), ('Target-1', 'enthusiastic supporters')], [('Source-2', 'enthusiastic supporters'), ('Action-2', 'cheers')], [('Action-2', 'cheers'), ('Source-1', 'Emmerson Mnangagwa')]]",True,1-Verbal Cooperation,1-4 Consult,0-Make a Statement,0-1 Make Public Statement,,,,
akIKvO9HOf2N74c5iS3htwNoQGT0-cameo_200.csv_14,No. 187 sentences MIAMI A federal jury on Thursday convicted the son of the former president of Liberia of torturing suspected opponents of his father's government.,No. 187 ,MIAMI A federal jury on Thursday convicted the son of the former president of Liberia of torturing suspected opponents of his father's government.,True,"[('Source-1', 'federal jury', 8), ('Time', 'Thursday', 24), ('Action-1', 'convicted', 33), ('Target-1', 'son of the former president of Liberia', 47)]",[],False,3-Verbal Conflict,3-11 Disapprove,,,,,False,[],[],True,"[('Location', 'MIAMI', 0), ('Source-1', 'federal jury', 8), ('Time', 'Thursday', 24), ('Action-1', 'convicted', 33), ('Target-1', 'son of the former president of Liberia', 47), ('Source-2', 'son of the former president of Liberia', 47), ('Action-2', 'torturing', 89), ('Target-2', ""suspected opponents of his father's government"", 99)]","[[('Source-1', 'federal jury'), ('Action-1', 'convicted')], [('Action-1', 'convicted'), ('Target-1', 'son of the former president of Liberia')], [('Source-2', 'son of the former president of Liberia'), ('Action-2', 'torturing')], [('Action-2', 'torturing'), ('Target-2', ""suspected opponents of his father's government"")]]",True,3-Verbal Conflict,3-11 Disapprove,4-Material Conflict,4-17 Coerce,,,,True,"[('Source-1', 'MIAMI A federal jury', 0), ('Time', 'Thursday', 24), ('Action-1', 'convicted', 33), ('Target-1', 'the son of the former president of Liberia', 43), ('Source-2', 'the son of the former president of Liberia', 43), ('Action-2', 'torturing', 89), ('Target-2', ""suspected opponents of his father's government."", 99)]","[[('Source-1', 'MIAMI A federal jury'), ('Action-1', 'convicted')], [('Action-1', 'convicted'), ('Target-1', 'the son of the former president of Liberia')], [('Source-2', 'the son of the former president of Liberia'), ('Action-2', 'torturing')], [('Action-2', 'torturing'), ('Target-2', ""suspected opponents of his father's government."")]]",True,4-Material Conflict,4-15 Exhibit Force Posture,4-Material Conflict,4-18 Assualt,,,True,"[('Source-1', 'federal jury', 8), ('Time', 'Thursday', 24), ('Action-1', 'convicted', 33), ('Target-1', 'son of the former president of Liberia', 47), ('Source-2', 'son of the former president of Liberia', 47), ('Action-2', 'torturing', 89), ('Target-2', ""suspected opponents of his father's government"", 99)]","[[('Source-1', 'federal jury'), ('Action-1', 'convicted')], [('Action-1', 'convicted'), ('Target-1', 'son of the former president of Liberia')], [('Source-2', 'son of the former president of Liberia'), ('Action-2', 'torturing')], [('Action-2', 'torturing'), ('Target-2', ""suspected opponents of his father's government"")]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-18 Assualt,,,,
