No.,sentences,url,date,source
100,"ISLAMABAD: The Pakistan Tehreek-e-Insaf Chairman, Imran Khan, on Wednesday ridiculed the former prime minister Nawaz Sharif's call for according him warm welcome upon his return, saying how could a dacoit seek such treatment.",https://www.thenews.com.pk/print/340574-how-a-dacoit-can-seek-warm-welcome-asks-imran,20180712,thenewspk
99,"Following the 'ice-breaking' Nawaz-Modi meeting in Ufa, Pakistan and India formally decided to resume the dialogue process between the two countries by issuing a joint communique in July this year.",http://www.thenews.com.pk/Todays-News-9-337534-Beyond-bilateralism,20150901,thenewspk
98,"Britain's left-wing Labour leader, Jeremy Corbyn, was dismissed by many as a political no-hoper but with the General Election on course for political deadlock he could conceivably become the U.K.'s next prime minister.",http://www.cnbc.com/2017/06/08/jeremy-corbyn-labour-leader-uk-election-manifesto-policies.html,20170608,cnbc
97,Enrollments on federal and state exchanges picked up after slow start in October.,https://web.archive.org/web/20131212101057/http://www.usatoday.com/story/news/nation/2013/12/11/hhs-announces-new-exchange-numbers/3960957/,20131211,usatoday
96,A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,https://www.nbcnews.com/id/wbna44999516,2011/10/22 0:00,nbc
95,"Former Trump campaign adviser George Papadopoulos arrives at a closed-door hearing before the House Judiciary and Oversight Committee October 25, 2018 at the Rayburn House Office Building on Capitol Hill in Washington, DC.",https://www.cnbc.com/2019/03/26/george-papadopoulos-officially-asked-trump-for-a-pardon.html,20190326,cnbc
94,"""They [messages with the proposal] were dispatched on Friday, by the end of the day,"" Peskov commented.",https://tass.com/politics/1113249,20200127,tass
93,"KOLKO, Philip - Born August 1935, passed away June 27, 2004, after a long and courageous battle against cancer.",https://www.sfgate.com/news/article/KOLKO-Philip-2709574.php,2004/7/4 11:00,sfgate
92,"PESHAWAR: A US drone killed three suspected militants in an attack on a compound in the Kurram Agency on Friday, officials said, in the first strike since President Donald Trump vowed to crack down on the country.",https://www.thenews.com.pk/print/230349-US-drone-kills-three-in-Kurram,20170916,thenewspk
91,"NEW YORK, Feb. 27 (UPI) -- The deaths of three New York children allegedly drowned by their mother has Nassau County officials admitting child welfare workers made a series of mistakes.",https://www.upi.com/Top_News/2008/02/27/System-breakdown-cited-in-three-deaths/88721204135176/,2008/2/27 0:00,upi
90,"In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",https://theconversation.com/the-forgotten-history-of-memorial-day-97199,,conversation
89,"Since coming to power in June of last year, Philippine President Rodrigo Duterte has become one of Asia's most controversial leaders for his strongman politics and inflammatory statements.",https://www.cnbc.com/2017/12/24/philippine-president-rodrigo-dutertes-controversial-comments.html,20171225,cnbc
88,"In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",https://www.pbs.org/newshour/show/british-government-worries-about-virus-outbreak-but-residents-carry-on,,pbs
87,WASHINGTON -- Lame-duck lawmakers return to Washington on Monday facing a stacked agenda and not much time to get it all done before the new Congress convenes in January and a Republican takeover is complete.,https://www.pbs.org/newshour/politics/congress-2-weeks-avert-government-shutdown,,pbs
86,"China's former top drug regulator was sentenced to death Tuesday for taking bribes to approve untested medicines, as the country's main quality control agency announced its first recall system targeting unsafe food products.",https://www.nbcnews.com/id/wbna18911849,2007/5/29 0:00,nbc
85,"SINGAPORE: From January next year, the government will provide subsidies of up to 80 per cent to intellectually disabled persons attending day activity centres on a part-time basis.",https://web.archive.org/web/20131021170332/http://www.channelnewsasia.com:80/news/singapore/subsidies-for/850900.html,20131017,cna
84,"The long-range missile was thought to be a Taepodong 2 and failed about 35 seconds after launch, US state department officials said on Wednesday.",https://www.aljazeera.com/news/2006/7/4/north-korea-tests-long-range-missile,2006/7/4 22:09,alijazeera
83,"""A competent professional, an experienced and responsible executive, you are doing your best to consolidate the team around the most important and essential goals and set the bar high in your work,"" Putin said in a congratulatory telegram to Mikhailov.",https://tass.com/society/1131499,20200317,tass
82,The UN General Assembly is set to vote on a resolution calling on the US to lift its decades-long trade embargo against Cuba.,https://www.bbc.co.uk/news/world-latin-america-11624792,20110623,bbc
81,"LAHORE: Imran Khan did not talk about rigging for a year but then a section of establishment had conspired and launched him and Dr Tahirul Qadri, said Najam Sethi on Friday.",http://www.thenews.com.pk/Todays-News-13-38767-PM-risked-his-office-by-forming-Judicial-Commission:-Sethi,20150725,thenewspk
80,Japan and France signed a pact on defense equipment transfers Friday at a meeting of their foreign and defense chiefs in Tokyo to strengthen bilateral ties in security.,http://www.japantimes.co.jp/news/2015/03/13/national/politics-diplomacy/japan-france-ink-defense-gear-transfer-pact-at-two-plus-two-meeting/,20150313,japantimes
79,"Raipur, India - Rights activists in the Indian state of Chhattisgarh have called for action against security forces after a judicial inquiry established that the killing of Indigenous people in 2012 was staged and that victims were unarmed civilians.",https://www.aljazeera.com/news/2019/12/4/indian-govt-report-17-adivasi-falsely-dubbed-maoists-shot-dead,2019/12/4 9:11,alijazeera
78,Tokyo prosecutors on Monday indicted two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan in 2019.,https://www.japantimes.co.jp/news/2021/03/22/national/crime-legal/ghosn-accused-indicted/,20210322,japantimes
77, A bill that would see a Virginia post office named in honor of a University of Virginia alumnus killed in action in Iraq is heading to President Donald Trump's desk.,https://web.archive.org/web/20181214152919/https://www.washingtonpost.com/local/bill-naming-post-office-for-army-captain-khan-heads-to-trump/2018/12/14/967b2e2a-ffa1-11e8-a17e-162b712e8fc2_story.html,20181214,washington
76,"He added that so far, he had not seen an official note sent to the Russian Foreign Ministry by the US in this regard.",https://tass.com/politics/1132961,20200320,tass
75,"NEW YORK (Reuters) - Bruce Springsteen was fined $500 on Wednesday after the rock 'n' roll legend pleaded guilty to a charge of consuming alcohol at a federally run New Jersey beach in November, and prosecutors dropped drunken driving and",https://www.usnews.com/news/top-news/articles/2021-02-24/drunk-driving-charge-dropped-against-springsteen-500-fine-for-drinking-at-beach,2021/2/24 0:00,usnews
74,"Fethi Belaid, AFP | A member of the Tunisian security forces aims his weapon at protesters during clashes in the outskirts of Tunis late on January 10, 2018.",http://www.france24.com/en/20180112-tunisia-arrests-scores-activists-call-fresh-protests-austerity,2018/1/12 0:00,france24
73,A TROUBLED Catholic priest who was accused of molesting a boy in The Bronx several years ago was arrested by state police on charges of aggravated harassment and stalking of an upstate New York man and his family.,https://nypost.com/2002/09/14/church-still-standing-behind-busted-priest/,2002/9/14 0:00,nypost
72,"In recent months, the UK has been gripped by cases of widespread organised child abuse - in Rotherham, Oxford, Rochdale and even Westminster.",https://theconversation.com/why-anti-sex-offender-activism-is-long-overdue-for-a-comeback-34173,,conversation
71,"NEW YORK -- St. Joe Minerals Corp. said Monday it has filed suit in federal court in Kansas City to block the $2 billion takeover bid by Joseph E. Seagram & Sons, Inc., the U.S. subsidiary of Canada's Seagram empire.",https://www.upi.com/Archives/1981/03/16/St-Joe-Minerals-to-fight-Seagram-unit-takeover/1596353566800/,1981/3/16 0:00,upi
70,Paris police were astonished to find a car stopped in the middle of Paris's busy ringroad and its driver slumped asleep over the steering wheel on Tuesday night.,https://www.rfi.fr/en/visiting-france/20110126-man-found-asleep-stopped-car-paris-ringroad,2011/1/26 0:00,rfi
69,Egypt activist released in case that raises fears for democracy World News Asma Alsharif,"http://www.reuters.com/article/2013/03/26/us-egypt-activist-idUSBRE92P12C20130326, https://www.reuters.com/article/instant-article/idUSBRE92P12C20130326",20130326,reuter
68,It's not clear what exact words David Cameron used in private conversation but many Muslim women have taken to Twitter to tell him that they are not quite the timid creatures he is reported to have portrayed them as.,https://www.bbc.co.uk/news/blogs-trending-35403106,20160125,bbc
67,Four men were indicted by a federal grand jury in Brooklyn Friday for an alleged plot to blow up New York's John F. Kennedy International Airport.,https://www.nbcnews.com/id/wbna19510018,2007/6/29 0:00,nbc
66,"""We have no confirmation that missiles reached our exclusive economic zone. At this moment, we can say that there is no direct threat to our country,"" Kyodo quoted a source in the government as saying.",https://tass.com/world/1072869,20190810,tass
65,A corruption scandal has shaken Venezuela's financial system and triggered the arrest of tycoons who are linked to President Hugo Chavez's government.,https://www.theguardian.com/world/2009/dec/07/hugo-chavez-bank-scandal-venezuela,2009/dec/07,guadian
64,"President Donald Trump talks with House Speaker Paul Ryan (R-WI) as he promotes a newly unveiled Republican tax plan with House Republican leaders in the Cabinet Room of the White House in Washington, November 2, 2017.",https://www.cnbc.com/2017/11/29/gop-group-assembles-debt-ceiling-wish-list----for-2018.html,20171130,cnbc
63,"(Reuters) - The FBI is offering a reward of up to $50,000 for information on who placed pipe bombs in the committee headquarters of both major U.S. political parties in Washington.",https://www.usnews.com/news/top-news/articles/2021-01-08/fbi-offers-reward-for-details-of-those-behind-washington-pipe-bombs,2021/1/8 0:00,usnews
