story,sentences,rater1,rater3,rater4,rater5
47,"Four men have been charged with murder in connection with the slaying of a man at a marijuana grow-house near Hayward in February, authorities said Friday.",FALSE,FALSE,FALSE,FALSE
75,"NEW YORK (Reuters) - Bruce Springsteen was fined $500 on Wednesday after the rock 'n' roll legend pleaded guilty to a charge of consuming alcohol at a federally run New Jersey beach in November, and prosecutors dropped drunken driving and",FALSE,FALSE,FALSE,FALSE
89,"Since coming to power in June of last year, Philippine President Rodrigo Duterte has become one of Asia's most controversial leaders for his strongman politics and inflammatory statements.",FALSE,FALSE,FALSE,FALSE
99,"Following the 'ice-breaking' Nawaz-Modi meeting in Ufa, Pakistan and India formally decided to resume the dialogue process between the two countries by issuing a joint communique in July this year.",TRUE,TRUE,TRUE,TRUE
58,"ISLAMABAD: In India, Congress general secretary Priyanka Gandhi Vadra says Jammu and Kashmir has been under dictatorship for the past one year.",TRUE,TRUE,TRUE,TRUE
29,"FILE - In this Sept. 9, 2020, file photo U.S. Attorney Thomas Kirsch for the Northern District of Indiana listens during a news conference at the Dirksen Federal Building in Chicago.",FALSE,FALSE,FALSE,FALSE
61,"FATEHGARH SAHIB: A youth hailing from Khant village near Khamano town of Fategarh Sahib district, was found dead at a dairy farm in Verona district of Italy, his family said on Tuesday.",FALSE,FALSE,FALSE,FALSE
31,More Than A Dozen GOP State Lawmakers Attended Rally That Gave Way To Riots,TRUE,TRUE,TRUE,TRUE
1,U.S. Associate Justice Ruth Bader Ginsburg was hospitalized Thursday evening after she became ill following treatment for an iron deficiency.,FALSE,FALSE,FALSE,FALSE
8,"U.S. public health officials, psychiatrists, grieving parents, outraged former patients and others are addressing the most bitterly divisive question in psychiatry: Do the drugs that doctors prescribe to relieve depression make some people more likely to c",FALSE,FALSE,FALSE,FALSE
85,"SINGAPORE: From January next year, the government will provide subsidies of up to 80 per cent to intellectually disabled persons attending day activity centres on a part-time basis.",FALSE,TRUE,TRUE,TRUE
45,"Venezuela's ruling Socialist Party swept the country's Dec. 10 municipal elections, winning 300 of 339 races for mayor, including in 39 of the country's 40 biggest cities.",FALSE,FALSE,FALSE,TRUE
98,"Britain's left-wing Labour leader, Jeremy Corbyn, was dismissed by many as a political no-hoper but with the General Election on course for political deadlock he could conceivably become the U.K.'s next prime minister.",FALSE,FALSE,FALSE,FALSE
83,"""A competent professional, an experienced and responsible executive, you are doing your best to consolidate the team around the most important and essential goals and set the bar high in your work,"" Putin said in a congratulatory telegram to Mikhailov.",TRUE,TRUE,TRUE,TRUE
34,"Thick black smoke and towering orange flames shot up Friday after two trailers of highly unstable compounds blew up at a flooded Houston-area chemical plant, the second fire there in two days.",FALSE,FALSE,FALSE,FALSE
64,"President Donald Trump talks with House Speaker Paul Ryan (R-WI) as he promotes a newly unveiled Republican tax plan with House Republican leaders in the Cabinet Room of the White House in Washington, November 2, 2017.",TRUE,TRUE,TRUE,TRUE
74,"Fethi Belaid, AFP | A member of the Tunisian security forces aims his weapon at protesters during clashes in the outskirts of Tunis late on January 10, 2018.",TRUE,TRUE,TRUE,TRUE
96,A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,FALSE,FALSE,FALSE,FALSE
65,A corruption scandal has shaken Venezuela's financial system and triggered the arrest of tycoons who are linked to President Hugo Chavez's government.,TRUE,TRUE,TRUE,TRUE
72,"In recent months, the UK has been gripped by cases of widespread organised child abuse - in Rotherham, Oxford, Rochdale and even Westminster.",FALSE,FALSE,FALSE,FALSE
54,Greeks went to the polls on Sunday in the first general election since the start of the country's debt crisis.,FALSE,FALSE,FALSE,TRUE
12,"An Oakland woman was fatally stabbed in front of her children by her estranged boyfriend after Oakland police failed to arrest him when he twice violated a restraining order, a $10 million wrongful-death lawsuit charges.",FALSE,FALSE,FALSE,FALSE
