ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,1_Relevant_2,Action1-PentaClass_2,Action1_CAMEO_2,Action2-PentaClass_2,Action2_CAMEO_2,Action3-PentaClass_2,Action3_CAMEO_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3-PentaClass_3,Action3_CAMEO_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
a_EZ.k3TuBIqqVMU8U0tv1JI1TU4-cameo_100.csv_95,"No. 66 sentences ""We have no confirmation that missiles reached our exclusive economic zone. At this moment, we can say that there is no direct threat to our country,"" Kyodo quoted a source in the government as saying.",No. 66 ,"""We have no confirmation that missiles reached our exclusive economic zone. At this moment, we can say that there is no direct threat to our country,"" Kyodo quoted a source in the government as saying.",True,"[('Source-1', 'source in the government', 166), ('Action-1', 'saying', 194)]","[[('Source-1', 'source in the government'), ('Action-1', 'saying')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'government', 180), ('Action-1', 'saying', 194)]","[[('Source-1', 'government'), ('Action-1', 'saying')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'government', 180), ('Action-1', 'saying', 194)]","[[('Source-1', 'government'), ('Action-1', 'saying')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,False,[],[],,,,,,True,"[('Source-1', 'Kyodo', 151), ('Action-1', 'quoted', 157), ('Source-2', 'a source in the government', 164), ('Target-1', 'a source in the government', 164), ('Action-2', 'saying', 194)]","[[('Source-1', 'Kyodo'), ('Action-1', 'quoted')], [('Source-2', 'a source in the government'), ('Action-2', 'saying')], [('Action-1', 'quoted'), ('Source-2', 'a source in the government')]]",True,0-Make a Statement,0-1 Make Public Statement,0-Make a Statement,0-1 Make Public Statement,,,,
a.ASK1QSYAtd.kuzmE4kykZekk3e-cameo_100.csv_99,"No. 52 sentences GUATEMALA CITY -- Gunmen released two priests kidnapped earlier this week in a bloody raid that left a parish clerk dead, said Catholic Church officials, who declined to reveal details of the case.",No. 52 ,"GUATEMALA CITY -- Gunmen released two priests kidnapped earlier this week in a bloody raid that left a parish clerk dead, said Catholic Church officials, who declined to reveal details of the case.",True,"[('Location', 'GUATEMALA CITY', 0), ('Target-2', 'Gunmen', 18), ('Source-3', 'Gunmen', 18), ('Action-1', 'released', 25), ('Source-2', 'priests', 38), ('Action-2', 'kidnapped', 46), ('Time', 'earlier this week', 56), ('Action-2', 'raid', 86), ('Target-2', 'parish clerk', 103), ('Action-2', 'dead', 116), ('Action-3', 'said', 122), ('Source-3', 'Catholic Church officials', 127)]",[],True,2-Material Cooperation,2-8 Yield,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,True,"[('Location', 'GUATEMALA CITY', 0), ('Source-1', 'Gunmen', 18), ('Action-1', 'released', 25), ('Target-1', 'priests', 38), ('Action-2', 'kidnapped', 46), ('Time', 'earlier this week', 56), ('Action-2', 'raid', 86), ('Target-2', 'parish clerk', 103), ('Action-2', 'dead', 116), ('Action-3', 'said', 122), ('Source-3', 'Catholic Church officials', 127)]",[],True,2-Material Cooperation,2-8 Yield,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,True,"[('Location', 'GUATEMALA', 0), ('Source-1', 'Gunmen', 18), ('Action-1', 'released', 25), ('Target-1', 'priests', 38), ('Action-2', 'kidnapped', 46), ('Time', 'earlier this week', 56), ('Action-2', 'raid', 86), ('Target-2', 'parish clerk', 103), ('Action-2', 'dead', 116), ('Action-3', 'said', 122), ('Source-3', 'Catholic Church officials', 127)]","[[('Source-1', 'Gunmen'), ('Action-1', 'released')], [('Action-1', 'released'), ('Target-1', 'priests')], [('Action-2', 'dead'), ('Target-2', 'parish clerk')], [('Source-3', 'Catholic Church officials'), ('Action-3', 'said')], [('Action-2', 'kidnapped'), ('Target-1', 'priests')]]",True,2-Material Cooperation,2-8 Yield,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,False,[],[],,,,,,True,"[('Location', 'GUATEMALA CITY', 0), ('Source-1', 'Gunmen', 18), ('Action-1', 'released', 25), ('Target-1', 'priests', 38), ('Target-2', 'priests', 38), ('Action-2', 'kidnapped', 46), ('Time', 'this week', 64), ('Action-2', 'raid', 86), ('Target-2', 'parish clerk', 103), ('Action-3', 'said', 122), ('Source-3', 'Catholic Church officials', 127)]","[[('Source-1', 'Gunmen'), ('Action-1', 'released')], [('Action-1', 'released'), ('Target-1', 'priests')], [('Action-2', 'raid'), ('Target-2', 'parish clerk')], [('Source-3', 'Catholic Church officials'), ('Action-3', 'said')], [('Source-1', 'Gunmen'), ('Action-2', 'kidnapped')], [('Source-1', 'Gunmen'), ('Action-2', 'raid')], [('Action-2', 'kidnapped'), ('Target-1', 'priests')]]",True,2-Material Cooperation,2-8 Yield,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,
aJSoFDPcqdgrocDGMyj43Xkk7qky-cameo_100.csv_100,"No. 99 sentences Following the 'ice-breaking' Nawaz-Modi meeting in Ufa, Pakistan and India formally decided to resume the dialogue process between the two countries by issuing a joint communique in July this year.",No. 99 ,"Following the 'ice-breaking' Nawaz-Modi meeting in Ufa, Pakistan and India formally decided to resume the dialogue process between the two countries by issuing a joint communique in July this year.",True,"[('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Source-1', 'India', 69), ('Action-1', 'resume the dialogue process', 95), ('Action-2', 'issuing a joint communique', 152), ('Time', 'July', 182)]","[[('Source-1', 'Pakistan'), ('Action-1', 'resume the dialogue process')], [('Source-1', 'India'), ('Action-1', 'resume the dialogue process')], [('Source-1', 'Pakistan'), ('Action-2', 'issuing a joint communique')], [('Source-1', 'India'), ('Action-2', 'issuing a joint communique')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Target-1', 'India', 69), ('Action-1', 'resume the dialogue process', 95), ('Source-2', 'two countries', 135), ('Action-2', 'issuing a joint communique', 152), ('Time', 'July', 182)]",[],True,1-Verbal Cooperation,1-3 Express Intent to Coop,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Source-1', 'Nawaz', 29), ('Target-1', 'Modi', 35), ('Action-1', 'meeting', 40), ('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Target-1', 'India', 69), ('Action-1', 'resume the dialogue', 95), ('Source-2', 'two countries', 135), ('Action-2', 'issuing a joint communique', 152), ('Time', 'July', 182)]","[[('Source-1', 'Nawaz'), ('Action-1', 'meeting')], [('Source-1', 'Nawaz'), ('Action-1', 'resume the dialogue')], [('Source-1', 'Pakistan'), ('Action-1', 'meeting')], [('Source-1', 'Pakistan'), ('Action-1', 'resume the dialogue')], [('Action-1', 'meeting'), ('Target-1', 'Modi')], [('Action-1', 'meeting'), ('Target-1', 'India')], [('Action-1', 'resume the dialogue'), ('Target-1', 'India')], [('Action-1', 'resume the dialogue'), ('Target-1', 'Modi')], [('Source-2', 'two countries'), ('Action-2', 'issuing a joint communique')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Source-1', 'Nawaz', 29), ('Target-1', 'Modi', 35), ('Action-1', 'meeting', 40), ('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Target-1', 'India', 69), ('Action-1', 'resume the dialogue', 95), ('Source-2', 'two countries', 135), ('Action-2', 'issuing a joint communique', 152), ('Time', 'July', 182)]","[[('Source-1', 'Nawaz'), ('Action-1', 'meeting')], [('Source-1', 'Pakistan'), ('Action-1', 'resume the dialogue')], [('Action-1', 'meeting'), ('Target-1', 'Modi')], [('Action-1', 'resume the dialogue'), ('Target-1', 'India')], [('Source-2', 'two countries'), ('Action-2', 'issuing a joint communique')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,0-Make a Statement,0-1 Make Public Statement,True,"[('Source-1', 'Nawaz', 29), ('Target-1', 'Modi', 35), ('Location', 'Ufa', 51), ('Source-1', 'Pakistan', 56), ('Target-1', 'India', 69), ('Action-1', 'resume the dialogue process', 95), ('Action-1', 'issuing a joint communique', 152), ('Time', 'July this year', 182)]","[[('Source-1', 'Nawaz'), ('Action-1', 'resume the dialogue process')], [('Source-1', 'Nawaz'), ('Action-1', 'issuing a joint communique')], [('Source-1', 'Pakistan'), ('Action-1', 'resume the dialogue process')], [('Source-1', 'Pakistan'), ('Action-1', 'issuing a joint communique')], [('Action-1', 'resume the dialogue process'), ('Target-1', 'Modi')], [('Action-1', 'resume the dialogue process'), ('Target-1', 'India')], [('Action-1', 'issuing a joint communique'), ('Target-1', 'Modi')], [('Action-1', 'issuing a joint communique'), ('Target-1', 'India')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,,,,,,
a9SYRMp5mwkPig8aJA9AuxWI.nAy-cameo_100.csv_97,No. 37 sentences A prominent Mexican suspected of being a major drug trafficker was flown to Los Angeles from Texas today and was held as a material witness in the 1985 kidnap-murder of U.S. narcotics agent Enrique Camarena Salazar.,No. 37 ,A prominent Mexican suspected of being a major drug trafficker was flown to Los Angeles from Texas today and was held as a material witness in the 1985 kidnap-murder of U.S. narcotics agent Enrique Camarena Salazar.,True,"[('Target-1', 'prominent Mexican suspected of being a major drug trafficker', 2), ('Location', 'Los Angeles', 76), ('Time', 'today', 99), ('Action-1', 'held as a material witness', 113), ('Action-2', 'kidnap-murder', 152), ('Target-1', 'U.S. narcotics agent', 169)]","[[('Target-1', 'prominent Mexican suspected of being a major drug trafficker'), ('Action-1', 'held as a material witness')], [('Target-1', 'prominent Mexican suspected of being a major drug trafficker'), ('Action-2', 'kidnap-murder')], [('Action-2', 'kidnap-murder'), ('Target-1', 'U.S. narcotics agent')]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-18 Assualt,,,True,"[('Source-1', 'prominent Mexican suspected', 2), ('Action-1', 'flown', 67), ('Location', 'Los Angeles', 76), ('Time', 'today', 99), ('Action-1', 'held as a material witness', 113), ('Action-2', 'kidnap-murder', 152), ('Action-2', 'U.S. narcotics agent Enrique Camarena Salazar', 169)]",[],True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-20 Unconv. Mass Violence,,,True,"[('Target-1', 'prominent Mexican', 2), ('Source-2', 'prominent Mexican', 2), ('Location', 'Los Angeles', 76), ('Time', 'today', 99), ('Action-1', 'held as a material witness', 113), ('Action-2', 'kidnap-murder', 152), ('Target-2', 'U.S. narcotics agent Enrique Camarena Salazar', 169)]","[[('Action-1', 'held as a material witness'), ('Target-1', 'prominent Mexican')], [('Source-2', 'prominent Mexican'), ('Action-2', 'kidnap-murder')], [('Action-2', 'kidnap-murder'), ('Target-2', 'U.S. narcotics agent Enrique Camarena Salazar')]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-18 Assualt,,,False,[],[],,,,,,True,"[('Target-1', 'prominent Mexican', 2), ('Source-2', 'prominent Mexican', 2), ('Location', 'Los Angeles', 76), ('Time', 'today', 99), ('Action-1', 'held as a material witness', 113), ('Action-2', 'kidnap-murder', 152), ('Target-2', 'U.S. narcotics agent Enrique Camarena Salazar', 169)]","[[('Action-1', 'held as a material witness'), ('Target-1', 'prominent Mexican')], [('Source-2', 'prominent Mexican'), ('Action-2', 'kidnap-murder')], [('Action-2', 'kidnap-murder'), ('Target-2', 'U.S. narcotics agent Enrique Camarena Salazar')]]",True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-18 Assualt,,,,
acoRvxr92FPz.ZtxkzmkmFckHNxm-cameo_100.csv_98,"No. 64 sentences President Donald Trump talks with House Speaker Paul Ryan (R-WI) as he promotes a newly unveiled Republican tax plan with House Republican leaders in the Cabinet Room of the White House in Washington, November 2, 2017.",No. 64 ,"President Donald Trump talks with House Speaker Paul Ryan (R-WI) as he promotes a newly unveiled Republican tax plan with House Republican leaders in the Cabinet Room of the White House in Washington, November 2, 2017.",True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'talks', 23), ('Target-1', 'House Speaker Paul Ryan', 34), ('Action-2', 'promotes a newly unveiled Republican tax plan', 71), ('Target-2', 'House Republican leaders', 122), ('Location', 'Washington', 189), ('Time', 'November 2, 2017', 201)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'talks')], [('Action-1', 'talks'), ('Target-1', 'House Speaker Paul Ryan')], [('Action-2', 'promotes a newly unveiled Republican tax plan'), ('Target-2', 'House Republican leaders')], [('Source-1', 'President Donald Trump'), ('Action-2', 'promotes a newly unveiled Republican tax plan')]]",True,1-Verbal Cooperation,1-4 Consult,1-Verbal Cooperation,1-3 Express Intent to Coop,,,True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'talks', 23), ('Target-1', 'House Speaker Paul Ryan', 34), ('Action-2', 'promotes a newly unveiled Republican tax plan', 71), ('Target-2', 'House Republican leaders', 122), ('Location', 'Washington', 189), ('Time', 'November 2, 2017', 201)]",[],True,4-Material Conflict,4-17 Coerce,4-Material Conflict,4-18 Assualt,,,True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'talks with', 23), ('Target-1', 'House Speaker Paul Ryan', 34), ('Source-1', 'he', 68), ('Action-2', 'promotes a newly unveiled Republican tax plan', 71), ('Target-2', 'House Republican leaders', 122), ('Location', 'Washington', 189), ('Time', 'November 2, 2017', 201)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'talks with')], [('Source-1', 'he'), ('Action-1', 'talks with')], [('Action-1', 'talks with'), ('Target-1', 'House Speaker Paul Ryan')], [('Action-2', 'promotes a newly unveiled Republican tax plan'), ('Target-2', 'House Republican leaders')], [('Source-1', 'President Donald Trump'), ('Action-2', 'promotes a newly unveiled Republican tax plan')], [('Source-1', 'he'), ('Action-2', 'promotes a newly unveiled Republican tax plan')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,1-Verbal Cooperation,1-3 Express Intent to Coop,,,False,[],[],,,,,,True,"[('Source-1', 'President Donald Trump', 0), ('Action-1', 'talks with', 23), ('Target-1', 'House Speaker Paul Ryan', 34), ('Target-1', 'House Republican leaders', 122), ('Location', 'Cabinet Room of the White House in Washington', 154), ('Time', 'November 2, 2017', 201)]","[[('Source-1', 'President Donald Trump'), ('Action-1', 'talks with')], [('Action-1', 'talks with'), ('Target-1', 'House Speaker Paul Ryan')], [('Action-1', 'talks with'), ('Target-1', 'House Republican leaders')]]",True,1-Verbal Cooperation,1-4 Consult,,,,,,
aTsyCEpGsRTfCpcrA8ZI0ODsp0mG-cameo_100.csv_94,"No. 83 sentences ""A competent professional, an experienced and responsible executive, you are doing your best to consolidate the team around the most important and essential goals and set the bar high in your work,"" Putin said in a congratulatory telegram to Mikhailov.",No. 83 ,"""A competent professional, an experienced and responsible executive, you are doing your best to consolidate the team around the most important and essential goals and set the bar high in your work,"" Putin said in a congratulatory telegram to Mikhailov.",True,"[('Source-1', 'Putin', 199), ('Action-1', 'said', 205), ('Target-1', 'Mikhailov', 242)]","[[('Source-1', 'Putin'), ('Action-1', 'said')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'Putin', 199), ('Action-1', 'said', 205), ('Action-1', 'congratulatory telegram', 215), ('Target-1', 'Mikhailov', 242)]",[],True,1-Verbal Cooperation,1-5 Engage in Dip Coop,,,,,True,"[('Source-1', 'Putin', 199), ('Action-1', 'said in a congratulatory telegram', 205), ('Target-1', 'Mikhailov', 242)]","[[('Source-1', 'Putin'), ('Action-1', 'said in a congratulatory telegram')], [('Action-1', 'said in a congratulatory telegram'), ('Target-1', 'Mikhailov')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,False,[],[],,,,,,True,"[('Source-1', 'Putin', 199), ('Action-1', 'said', 205), ('Target-1', 'Mikhailov', 242)]","[[('Source-1', 'Putin'), ('Action-1', 'said')], [('Action-1', 'said'), ('Target-1', 'Mikhailov')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,,
arhBYNVMRBdbUoj35A4VF1WYYj5C-cameo_100.csv_96,No. 78 sentences Tokyo prosecutors on Monday indicted two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan in 2019.,No. 78 ,Tokyo prosecutors on Monday indicted two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan in 2019.,True,"[('Source-1', 'Tokyo prosecutors', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'Americans', 41), ('Action-2', 'accused', 51), ('Action-3', 'helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape', 62), ('Location', 'Japan', 147), ('Time', '2019', 156)]","[[('Source-1', 'Tokyo prosecutors'), ('Action-1', 'indicted')], [('Target-1', 'Americans'), ('Action-2', 'accused')], [('Target-1', 'Americans'), ('Action-3', 'helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape')]]",True,2-Material Cooperation,4-17 Coerce,2-Material Cooperation,2-6 Engage in Material Coop,2-Material Cooperation,2-6 Engage in Material Coop,True,"[('Source-1', 'Tokyo prosecutors', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape', 41), ('Location', 'Japan', 147)]",[],True,4-Material Conflict,4-17 Coerce,,,,,True,"[('Source-1', 'Tokyo prosecutors', 0), ('Location', 'Tokyo', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan', 41)]","[[('Source-1', 'Tokyo prosecutors'), ('Action-1', 'indicted')], [('Action-1', 'indicted'), ('Target-1', 'Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,False,[],[],,,,,,True,"[('Source-1', 'Tokyo prosecutors', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'Americans', 41), ('Source-2', 'Americans', 41), ('Action-2', 'helping', 62), ('Target-2', 'former Nissan boss Carlos Ghosn', 70), ('Location', 'Japan', 147)]","[[('Source-1', 'Tokyo prosecutors'), ('Action-1', 'indicted')], [('Action-1', 'indicted'), ('Target-1', 'Americans')], [('Source-2', 'Americans'), ('Action-2', 'helping')], [('Action-2', 'helping'), ('Target-2', 'former Nissan boss Carlos Ghosn')]]",True,4-Material Conflict,4-17 Coerce,2-Material Cooperation,2-7 Provide Aid,,,,
a3EzdBAERoOXb3NAg7Y2KG1lX4py-cameo_100.csv_92,"No. 8 sentences U.S. public health officials, psychiatrists, grieving parents, outraged former patients and others are addressing the most bitterly divisive question in psychiatry: Do the drugs that doctors prescribe to relieve depression make some people more likely to c",No. 8 ,"U.S. public health officials, psychiatrists, grieving parents, outraged former patients and others are addressing the most bitterly divisive question in psychiatry: Do the drugs that doctors prescribe to relieve depression make some people more likely to c",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
akfq1NQ.fNhk.AAQ2N.OuYnWoQB8-cameo_100.csv_93,"No. 88 sentences In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",No. 88 ,"In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
av3eRZnLyNVafprU__fKsw9fao.C-cameo_100.csv_78,"No. 3 sentences  An all-girls robotics team from Afghanistan selected for an international robotics competition in Washington, D.C. this month will have to watch their robot compete from afar after its members were denied visas by the U.S. State Department.",No. 3 ," An all-girls robotics team from Afghanistan selected for an international robotics competition in Washington, D.C. this month will have to watch their robot compete from afar after its members were denied visas by the U.S. State Department.",True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Action-1', 'denied visas', 199), ('Source-1', 'U.S. State Department', 219)]","[[('Action-1', 'denied visas'), ('Source-1', 'U.S. State Department')], [('Action-1', 'denied visas'), ('Target-1', 'all-girls robotics team from Afghanistan')]]",True,3-Verbal Conflict,3-16 Reduce Relations,,,,,True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Location', 'Washington, D.C', 99), ('Action-1', 'denied visas', 199), ('Source-1', 'U.S. State Department', 219)]","[[('Source-1', 'U.S. State Department'), ('Action-1', 'denied visas')], [('Action-1', 'denied visas'), ('Target-1', 'all-girls robotics team from Afghanistan')]]",True,3-Verbal Conflict,3-16 Reduce Relations,,,,,True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Target-1', 'their', 146), ('Target-1', 'its members', 182), ('Action-1', 'denied visas', 199), ('Source-1', 'U.S. State Department', 219)]","[[('Source-1', 'U.S. State Department'), ('Action-1', 'denied visas')], [('Action-1', 'denied visas'), ('Target-1', 'its members')], [('Action-1', 'denied visas'), ('Target-1', 'their')], [('Action-1', 'denied visas'), ('Target-1', 'all-girls robotics team from Afghanistan')]]",True,3-Verbal Conflict,3-16 Reduce Relations,,,,,False,[],[],,,,,,True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Time', 'this month', 116), ('Action-1', 'were denied visas', 194), ('Source-1', 'U.S. State Department', 219)]","[[('Source-1', 'U.S. State Department'), ('Action-1', 'were denied visas')], [('Action-1', 'were denied visas'), ('Target-1', 'all-girls robotics team from Afghanistan')]]",True,4-Material Conflict,3-16 Reduce Relations,,,,,,
